POSTCODE	POSTCODE_EIND	AANSLUITINGEN_AANTAL	PRODUCTSOORT	SJA_TOTAAL	SJA_GEMIDDELD	POSTCODE_AANTAL
1012BN	1012BN	23	GAS	16056	698,09	1
1012BP	1012BP	35	ELK	195545	5587,00	1
1012BP	1012BP	28	GAS	62072	2216,86	1
1012BR	1012BS	53	ELK	117793	2222,51	2
1012BR	1012BS	44	GAS	45604	1036,45	2
1012BT	1012BT	17	ELK	29399	1729,35	1
1012BT	1012BT	17	GAS	10661	627,12	1
1012BV	1012BV	45	ELK	270468	6010,40	1
1012BV	1012BV	37	GAS	76825	2076,35	1
1012BW	1012BW	43	ELK	71199	1655,79	1
1012BW	1012BW	36	GAS	31137	864,92	1
1012BX	1012BX	32	ELK	44856	1401,75	1
1012BX	1012BX	26	GAS	27627	1062,58	1
1012BZ	1012BZ	34	ELK	64618	1900,53	1
1012BZ	1012BZ	29	GAS	26769	923,07	1
1012CA	1012CA	14	ELK	28244	2017,43	1
1012CA	1012CA	13	GAS	14617	1124,38	1
1012CB	1012CB	43	ELK	122918	2858,56	1
1012CB	1012CB	29	GAS	41336	1425,38	1
1012CC	1012CD	47	ELK	315727	6717,60	2
1012CC	1012CD	41	GAS	78848	1923,12	2
1012CE	1012CE	24	ELK	231279	9636,63	1
1012CE	1012CE	19	GAS	30763	1619,11	1
1012CH	1012CJ	34	ELK	57101	1679,44	2
1012CH	1012CJ	30	GAS	33252	1108,40	2
1012CK	1012CK	18	ELK	51276	2848,67	1
1012CK	1012CK	15	GAS	11444	762,93	1
1012CL	1012CL	11	ELK	71058	6459,82	1
1012CL	1012CM	13	GAS	20835	1602,69	2
1012CM	1012CN	19	ELK	22754	1197,58	2
1012CN	1012CR	27	GAS	97633	3616,04	3
1012CP	1012CR	34	ELK	692231	20359,74	2
1012CS	1012CS	16	ELK	358879	22429,94	1
1012CS	1012CS	11	GAS	35900	3263,64	1
1012CT	1012CT	23	ELK	220779	9599,09	1
1012CT	1012CT	20	GAS	28882	1444,10	1
1012CV	1012CV	11	ELK	78788	7162,55	1
1012CV	1012CV	10	GAS	13891	1389,10	1
1012CW	1012CW	35	ELK	154125	4403,57	1
1012CW	1012CW	26	GAS	31091	1195,81	1
1012CX	1012CX	18	ELK	92024	5112,44	1
1012CX	1012CX	17	GAS	17000	1000,00	1
1012CZ	1012CZ	36	ELK	89436	2484,33	1
1012CZ	1012CZ	32	GAS	36512	1141,00	1
1012DA	1012DA	37	ELK	416828	11265,62	1
1012DA	1012DA	36	GAS	84023	2333,97	1
1012DB	1012DB	28	ELK	261266	9330,93	1
1012DB	1012DB	22	GAS	64507	2932,14	1
1012DC	1012DC	27	ELK	157218	5822,89	1
1012DC	1012DC	24	GAS	72088	3003,67	1
1012DD	1012DD	20	ELK	163290	8164,50	1
1012DD	1012DD	19	GAS	45877	2414,58	1
1012DE	1012DE	21	ELK	83127	3958,43	1
1012DE	1012DE	18	GAS	23854	1325,22	1
1012DG	1012DG	39	ELK	105570	2706,92	1
1012DG	1012DG	25	GAS	51640	2065,60	1
1012DH	1012DH	11	ELK	16289	1480,82	1
1012DH	1012DH	10	GAS	10620	1062,00	1
1012DJ	1012DJ	19	ELK	79209	4168,89	1
1012DJ	1012DJ	15	GAS	20937	1395,80	1
1012DK	1012DK	15	ELK	22837	1522,47	1
1012DK	1012DK	13	GAS	10283	791,00	1
1012DL	1012DL	13	ELK	20497	1576,69	1
1012DL	1012DM	35	GAS	34434	983,83	2
1012DM	1012DM	29	ELK	186150	6418,97	1
1012DN	1012DN	15	ELK	73295	4886,33	1
1012DN	1012DN	12	GAS	21725	1810,42	1
1012DP	1012DP	39	ELK	272768	6994,05	1
1012DP	1012DP	35	GAS	52708	1505,94	1
1012DR	1012DR	30	ELK	238580	7952,67	1
1012DR	1012DR	27	GAS	33170	1228,52	1
1012DS	1012DS	31	ELK	159631	5149,39	1
1012DS	1012DS	29	GAS	32018	1104,07	1
1012DT	1012DT	18	ELK	152521	8473,39	1
1012DT	1012DT	13	GAS	35916	2762,77	1
1012DV	1012DV	40	ELK	170076	4251,90	1
1012DV	1012DV	28	GAS	43216	1543,43	1
1012DW	1012DW	17	ELK	42730	2513,53	1
1012DW	1012DW	16	GAS	12207	762,94	1
1012DX	1012DX	20	ELK	46370	2318,50	1
1012DX	1012DX	18	GAS	26822	1490,11	1
1012DZ	1012EA	19	ELK	170807	8989,84	2
1012DZ	1012EA	14	GAS	22315	1593,93	2
1012EB	1012EB	15	ELK	59399	3959,93	1
1012EB	1012EB	13	GAS	27291	2099,31	1
1012EC	1012EC	17	ELK	170623	10036,65	1
1012EC	1012EC	12	GAS	26604	2217,00	1
1012ED	1012ED	26	ELK	576173	22160,50	1
1012ED	1012ED	19	GAS	78824	4148,63	1
1012EE	1012EG	19	ELK	58093	3057,53	2
1012EE	1012EG	15	GAS	16199	1079,93	2
1012EH	1012EH	37	ELK	251595	6799,86	1
1012EH	1012EH	31	GAS	35555	1146,94	1
1012EJ	1012EJ	27	ELK	128211	4748,56	1
1012EJ	1012EJ	22	GAS	48117	2187,14	1
1012EK	1012EK	19	ELK	103212	5432,21	1
1012EK	1012EK	17	GAS	24202	1423,65	1
1012EL	1012EL	34	ELK	131140	3857,06	1
1012EL	1012EL	24	GAS	68630	2859,58	1
1012EM	1012EM	27	ELK	71910	2663,33	1
1012EM	1012EM	25	GAS	33432	1337,28	1
1012EN	1012EN	17	ELK	53394	3140,82	1
1012EN	1012EN	16	GAS	22579	1411,19	1
1012EP	1012EP	15	ELK	67699	4513,27	1
1012EP	1012EP	12	GAS	22607	1883,92	1
1012ER	1012ER	12	ELK	36997	3083,08	1
1012ER	1012ER	10	GAS	15361	1536,10	1
1012ES	1012ES	42	ELK	170107	4050,17	1
1012ES	1012ES	35	GAS	40348	1152,80	1
1012ET	1012ET	19	ELK	132531	6975,32	1
1012ET	1012ET	15	GAS	48212	3214,13	1
1012EV	1012EV	11	ELK	21150	1922,73	1
1012EV	1012EW	40	GAS	38741	968,53	2
1012EW	1012EW	33	ELK	130724	3961,33	1
1012EX	1012EX	17	ELK	74051	4355,94	1
1012EX	1012EX	15	GAS	38212	2547,47	1
1012EZ	1012EZ	20	ELK	87808	4390,40	1
1012EZ	1012EZ	14	GAS	58612	4186,57	1
1012GA	1012GA	12	ELK	47405	3950,42	1
1012GA	1012GA	11	GAS	14453	1313,91	1
1012GB	1012GB	16	ELK	193360	12085,00	1
1012GB	1012GB	12	GAS	16243	1353,58	1
1012GC	1012GD	49	ELK	519473	10601,49	2
1012GC	1012GD	34	GAS	62886	1849,59	2
1012GE	1012GE	31	ELK	251711	8119,71	1
1012GE	1012GE	21	GAS	44711	2129,10	1
1012GG	1012GG	12	ELK	104615	8717,92	1
1012GG	1012GG	11	GAS	19694	1790,36	1
1012GH	1012GH	103	ELK	363119	3525,43	1
1012GH	1012GH	79	GAS	76153	963,96	1
1012GJ	1012GJ	36	ELK	189557	5265,47	1
1012GJ	1012GJ	31	GAS	60921	1965,19	1
1012GK	1012GK	33	ELK	292674	8868,91	1
1012GK	1012GK	26	GAS	31960	1229,23	1
1012GL	1012GL	53	ELK	161548	3048,08	1
1012GL	1012GL	41	GAS	54086	1319,17	1
1012GM	1012GM	32	ELK	112682	3521,31	1
1012GM	1012GM	27	GAS	32538	1205,11	1
1012GN	1012GP	32	ELK	153132	4785,38	2
1012GN	1012GP	28	GAS	60305	2153,75	2
1012GR	1012GR	48	ELK	86857	1809,52	1
1012GR	1012GR	43	GAS	37761	878,16	1
1012GS	1012GS	37	ELK	498490	13472,70	1
1012GS	1012GS	35	GAS	77907	2225,91	1
1012GT	1012GT	38	ELK	561966	14788,58	1
1012GT	1012GT	32	GAS	86030	2688,44	1
1012GV	1012GW	18	ELK	73857	4103,17	2
1012GV	1012GW	16	GAS	23345	1459,06	2
1012GX	1012GZ	53	ELK	202421	3819,26	2
1012GX	1012GZ	50	GAS	71769	1435,38	2
1012HA	1012HA	16	ELK	123626	7726,63	1
1012HA	1012HA	15	GAS	20764	1384,27	1
1012HB	1012HC	28	ELK	112564	4020,14	2
1012HB	1012HC	25	GAS	36057	1442,28	2
1012HD	1012HE	63	ELK	130685	2074,37	2
1012HD	1012HE	51	GAS	38834	761,45	2
1012HG	1012HG	54	ELK	93327	1728,28	1
1012HG	1012HG	47	GAS	44344	943,49	1
1012HH	1012HH	18	ELK	41616	2312,00	1
1012HH	1012HH	16	GAS	22461	1403,81	1
1012HJ	1012HJ	11	ELK	14265	1296,82	1
1012HJ	1012HK	17	GAS	18682	1098,94	2
1012HK	1012HK	10	ELK	34907	3490,70	1
1012HL	1012HL	51	ELK	142177	2787,78	1
1012HL	1012HL	47	GAS	43305	921,38	1
1012HM	1012HM	20	ELK	87213	4360,65	1
1012HM	1012HM	17	GAS	25348	1491,06	1
1012HN	1012HR	10	ELK	26374	2637,40	2
1012HN	1012HS	16	GAS	47473	2967,06	3
1012HS	1012HT	34	ELK	604141	17768,85	2
1012HT	1012HT	26	GAS	141024	5424,00	1
1012HV	1012HW	38	ELK	688895	18128,82	2
1012HV	1012HW	33	GAS	110404	3345,58	2
1012HX	1012HX	28	ELK	368039	13144,25	1
1012HX	1012HX	24	GAS	35950	1497,92	1
1012HZ	1012HZ	12	ELK	343624	28635,33	1
1012HZ	1012HZ	11	GAS	63021	5729,18	1
1012JA	1012JA	21	ELK	320056	15240,76	1
1012JA	1012JA	20	GAS	97257	4862,85	1
1012JB	1012JB	30	ELK	222829	7427,63	1
1012JB	1012JB	24	GAS	28901	1204,21	1
1012JC	1012JC	13	ELK	128669	9897,62	1
1012JC	1012JC	12	GAS	29315	2442,92	1
1012JD	1012JD	41	ELK	419929	10242,17	1
1012JD	1012JD	25	GAS	140128	5605,12	1
1012JE	1012JE	52	ELK	389900	7498,08	1
1012JE	1012JE	48	GAS	91945	1915,52	1
1012JG	1012JG	30	ELK	269079	8969,30	1
1012JG	1012JG	23	GAS	27830	1210,00	1
1012JH	1012JH	33	ELK	619156	18762,30	1
1012JH	1012JH	26	GAS	48284	1857,08	1
1012JJ	1012JL	24	ELK	813101	33879,21	3
1012JJ	1012JL	16	GAS	126230	7889,38	3
1012JM	1012JM	38	ELK	1294129	34056,03	1
1012JM	1012JM	35	GAS	178987	5113,91	1
1012JN	1012JN	17	ELK	290690	17099,41	1
1012JN	1012JN	16	GAS	43012	2688,25	1
1012JP	1012JP	21	ELK	510757	24321,76	1
1012JP	1012JP	16	GAS	95324	5957,75	1
1012JS	1012JS	29	ELK	401200	13834,48	1
1012JS	1012JS	10	GAS	47715	4771,50	1
1012JT	1012JV	44	ELK	326160	7412,73	2
1012JT	1012JV	33	GAS	117731	3567,61	2
1012JW	1012JZ	10	ELK	56584	5658,40	2
1012JZ	1012KC	25	GAS	57589	2303,56	3
1012KB	1012KC	21	ELK	157300	7490,48	2
1012KD	1012KE	23	ELK	290078	12612,09	2
1012KD	1012KE	22	GAS	103650	4711,36	2
1012KK	1012KL	20	ELK	304248	15212,40	2
1012KK	1012KL	17	GAS	77482	4557,76	2
1012KM	1012KM	15	ELK	167907	11193,80	1
1012KM	1012KM	15	GAS	44871	2991,40	1
1012KN	1012KP	12	ELK	329450	27454,17	2
1012KN	1012KR	20	GAS	77216	3860,80	3
1012KR	1012KR	14	ELK	192397	13742,64	1
1012KS	1012KT	29	ELK	382609	13193,41	2
1012KS	1012KT	22	GAS	70976	3226,18	2
1012KV	1012KV	33	ELK	256618	7776,30	1
1012KV	1012KV	24	GAS	25944	1081,00	1
1012KW	1012KW	16	ELK	170036	10627,25	1
1012KW	1012KW	16	GAS	57370	3585,63	1
1012KX	1012KZ	12	ELK	286416	23868,00	2
