"AANSLUITINGEN_AANTAL	POSTCODE	POSTCODE_EIND	POSTCODE_AANTAL	PRODUCTSOORT	TYPE_AANSLUITING_MEEST_VOORKOMEND	TOT_E_INV	SJI GEMIDDELD"
"10	1011PV	1011PV	1	ELK	1x35	0	0.0"
"14	1011PW	1011PW	1	ELK	1x25	0	0.0"
"16	1011PX	1011PZ	2	ELK	3x25	8320	520.0"
"34	1011QQ	1011QQ	1	ELK	3x25	55	1.6176470588235294"
"15	1011RA	1011RA	1	ELK	1x25	0	0.0"
"10	1011RB	1011RB	1	ELK	3x25	0	0.0"
"12	1011RC	1011RC	1	ELK	1x25	0	0.0"
"21	1011RD	1011RE	2	ELK	1x35	0	0.0"
"24	1011RG	1011RG	1	ELK	1x35	0	0.0"
"24	1011RH	1011RH	1	ELK	1x25	0	0.0"
"10	1011RJ	1011RJ	1	ELK	3x25	1679	167.9"
"17	1011RK	1011RK	1	ELK	1x35	57	3.3529411764705883"
"29	1011RL	1011RL	1	ELK	3x25	4129	142.3793103448276"
"13	1011RM	1011RM	1	ELK	1x35	0	0.0"
"19	1011RN	1011RN	1	ELK	1x25	180	9.473684210526315"
"11	1011RP	1011RR	2	ELK	1x25	0	0.0"
"10	1011RS	1011RS	1	ELK	3x25	0	0.0"
"18	1011RT	1011RV	2	ELK	1x25	0	0.0"
"18	1011RW	1011RX	2	ELK	1x25	0	0.0"
"20	1011RZ	1011SB	2	ELK	1x25	2668	133.4"
"11	1011SC	1011SC	1	ELK	1x25	0	0.0"
"21	1011SE	1011SG	2	ELK	3x25	2160	102.85714285714286"
"17	1011SK	1011SN	2	ELK	1x35	0	0.0"
"19	1011SP	1011SP	1	ELK	1x25	0	0.0"
"16	1011SR	1011SR	1	ELK	1x35	0	0.0"
"17	1011ST	1011ST	1	ELK	1x35	0	0.0"
"17	1011SV	1011SV	1	ELK	1x35	0	0.0"
"17	1011SW	1011SW	1	ELK	1x35	1	0.058823529411764705"
"17	1011SX	1011SX	1	ELK	1x35	3	0.17647058823529413"
"18	1011SZ	1011SZ	1	ELK	1x35	149	8.277777777777779"
