rank,PC4,municipality,demand_dso_kwh,connections,demand_dso_gwh,li_feedin_kwh,li_feedin_gwh,st_feedin_kwh,st_feedin_gwh,solar_park_gwh,wind_gwh,biz_kwh,biz_gwh,total_feedin_gwh,total_supply_gwh,demand_total_gwh,net_balance_gwh,supply_ratio_pct,business_park,balance_class,slope_kwh_yr,growth_rate_pct_yr,significant,deficit_abs,demand_per_conn,has_biz_park,industrial_proxy_gwh,demand_synthetic_gwh,congestion_status,congestion_score,net_balance_p3_gwh,composite_siting,composite_siting_v1_proxy_excl
34,3892,Ede,8002870.0,2252.0,8.00287,2788084.0,2.788084,0.0,0.0,0.0,0.0,72980.0,0.07298,2.788084,2.788084,8.075849999999999,-5.287766,34.52372196115579,,high_deficit,-68993.0,-0.86,False,5.287766,0.0035860790408525,0.0,0.0,8.075849999999999,RED,1.0,-5.287766,0.5105,0.5883
35,3899,Ede,2004615.0,140.0,2.004615,358915.0,0.358915,0.0,0.0,0.0,0.0,3068960.0,3.06896,0.358915,0.358915,5.073575,-4.71466,7.0742031013634366,,severe_deficit,-178406.9,-8.9,False,4.71466,0.0362398214285714,0.0,0.0,5.073575,RED,1.0,-4.71466,0.5093,0.5787
36,6706,Ede,5675617.0,2347.0,5.675617,1450711.0,1.450711,0.0,0.0,0.0,0.0,38120.0,0.03812,1.450711,1.450711,5.713737,-4.263026,25.389880563281093,,high_deficit,-704689.3,-12.42,False,4.263026,0.0024344853003834,0.0,0.0,5.713737,RED,1.0,-4.263026,0.5084,0.5711
37,3848,Ede,5587662.0,1698.0,5.587662,1649794.0,1.649794,0.0,0.0,0.0,0.0,60930.0,0.06093,1.649794,1.649794,5.648592,-3.998798,29.207172336044096,,high_deficit,-358484.1,-6.42,True,3.998798,0.0033266148409893,0.0,0.0,5.648592,RED,1.0,-3.998798,0.5079,0.5666
38,6709,Ede,5577360.0,1196.0,5.57736,2346892.0,2.346892,0.0,0.0,0.0,0.0,353580.0,0.35358,2.346892,2.346892,5.93094,-3.584048,39.57032106209134,,high_deficit,-54383.8,-0.98,False,3.584048,0.0049589799331103,0.0,0.0,5.93094,RED,1.0,-3.584048,0.5071,0.5597
39,6703,Ede,4256002.0,1230.0,4.256002,1158064.0,1.158064,0.0,0.0,0.0,0.0,15410.0,0.01541,1.158064,1.158064,4.271412,-3.113348,27.111971404303777,,high_deficit,-250628.5,-5.89,False,3.113348,0.0034726926829268,0.0,0.0,4.271412,RED,1.0,-3.113348,0.5061,0.5517
40,3821,Ede,671756.0,105.0,0.671756,56124.0,0.056124,0.0,0.0,0.0,0.0,2186170.0,2.18617,0.056124,0.056124,2.857926,-2.801802,1.963801721948014,,severe_deficit,-261934.8,-38.99,True,2.801802,0.0272183428571428,0.0,0.0,2.857926,RED,1.0,-2.801802,0.5055,0.5465
41,3896,Ede,3110215.0,118.0,3.110215,1613499.0,1.613499,0.0,0.0,0.0,0.0,1112750.0,1.11275,1.613499,1.613499,4.222965,-2.6094660000000003,38.207728456191326,,high_deficit,-260735.5,-8.38,False,2.6094660000000003,0.0357878389830508,0.0,0.0,4.222965,RED,1.0,-2.6094660000000003,0.5051,0.5433
42,6705,Ede,3115654.0,553.0,3.115654,709072.0,0.709072,0.0,0.0,0.0,0.0,74490.0,0.07449,0.709072,0.709072,3.190144,-2.481072,22.22695903382418,,severe_deficit,-92993.8,-2.98,False,2.481072,0.0057687956600361,0.0,0.0,3.190144,RED,1.0,-2.481072,0.5049,0.5411
43,3898,Ede,2936564.0,324.0,2.936564,1049564.0,1.049564,0.0,0.0,0.0,0.0,222080.0,0.22208,1.049564,1.049564,3.158644,-2.1090800000000005,33.22830936313177,Industriegebied Nijkerk,high_deficit,-448450.1,-15.27,False,2.1090800000000005,0.0097489012345679,1.0,0.0,3.158644,RED,1.0,-2.1090800000000005,0.5041,0.5349
44,3847,Ede,1795344.0,415.0,1.795344,189786.0,0.189786,0.0,0.0,0.0,0.0,126710.0,0.12671,0.189786,0.189786,1.922054,-1.732268,9.874124244167955,,severe_deficit,-82840.6,-4.61,False,1.732268,0.0046314554216867,0.0,0.0,1.922054,RED,1.0,-1.732268,0.5034,0.5285
45,6704,Ede,1317608.0,269.0,1.317608,347757.0,0.347757,0.0,0.0,0.0,0.0,34350.0,0.03435,0.347757,0.347757,1.351958,-1.004201,25.722470668467512,,high_deficit,-104313.5,-7.92,False,1.004201,0.0050258661710037,0.0,0.0,1.351958,RED,1.0,-1.004201,0.5019,0.5163
46,3815,Ede,70760.0,12.0,0.07076,0.0,0.0,0.0,0.0,0.0,0.0,806710.0,0.80671,0.0,0.0,0.8774700000000001,-0.8774700000000001,0.0,,severe_deficit,0.0,0.0,,0.8774700000000001,0.0731225,0.0,0.0,0.8774700000000001,RED,1.0,-0.8774700000000001,0.5017,0.5142
47,3895,Ede,402277.0,19.0,0.402277,28486.0,0.028486,0.0,0.0,0.0,0.0,46200.0,0.0462,0.028486,0.028486,0.448477,-0.419991,6.351719263195214,,severe_deficit,-205503.8,-51.09,False,0.419991,0.0236040526315789,0.0,0.0,0.448477,RED,1.0,-0.419991,0.5008,0.5065
48,3829,Ede,196391.0,23.0,0.196391,24466.0,0.024466,0.0,0.0,0.0,0.0,128960.0,0.12896,0.024466,0.024466,0.325351,-0.300885,7.519878531186319,,severe_deficit,0.0,0.0,,0.300885,0.0141456956521739,0.0,0.0,0.325351,RED,1.0,-0.300885,0.5005,0.5045
49,3826,Ede,58045.0,10.0,0.058045,14370.0,0.01437,0.0,0.0,0.0,0.0,91490.0,0.09149,0.01437,0.01437,0.149535,-0.135165,9.609790350085264,,severe_deficit,0.0,0.0,,0.135165,0.0149535,0.0,0.0,0.149535,RED,1.0,-0.135165,0.5002,0.5017
50,3772,Barneveld,30572945.0,8364.0,30.572945,9472132.0,9.472132,0.0,0.0,0.0,0.0,896190.0,0.89619,9.472132,9.472132,31.469135,-21.997003,30.09975329795369,,high_deficit,-2348051.9,-7.68,False,21.997003,0.003762450382592,0.0,0.0,31.469135,AMBER,0.5,-21.997003,0.2937,0.619
